name,category,rating,address,zip_code,description,doordash_url
Donut Factory,Donuts,4.3,4336 Roosevelt Way NE Suite D Suite D,98105,Donuts rated 4.3/5 located at 4336 Roosevelt Way NE Suite D Suite D (ZIP 98105).,https://www.doordash.com/business/shawarma-time-11178894/?srsltid=AfmBOooi57E3DEofVzPRtSrqYoNhmYFFai1JJnlR5CZWnLNNZNv134Xh
Tulio,Restaurant,4.4,1100 5th Ave,98105,Restaurant rated 4.4/5 located at 1100 5th Ave (ZIP 98105).,https://www.doordash.com/store/mioposto-seattle-48629/?srsltid=AfmBOoq14SlLO5n2u1rOuuznAIYcSGDxGwxWMKy8rzmxWBgAp3Ppr3xQ
Café Happy,Bubble Tea,3.9,1408 NE 40th St,98105,Bubble Tea rated 3.9/5 located at 1408 NE 40th St (ZIP 98105).,https://www.doordash.com/store/shaka-snacks-seattle-24989250/?srsltid=AfmBOoo0Dch83SFoc0AKvo2crU_3aCp5lXf1ZRQIqXUoC35neu_UvcWw
Carmelos Tacos,Mexican,4.7,110 Summit Ave E,98105,Mexican rated 4.7/5 located at 110 Summit Ave E (ZIP 98105).,https://doordash.com/store/62159?src=yp&pickup=true&utm_source_id=a82709b6-e6f7-4e32-945c-4c7b5f7505a0&srsltid=AfmBOopEosr3gViQBFceZqReZ3MQqeGmlETbXx1v33gJTmLxLX6QtakQ
IJ Sushi Burrito - UW,Japanese,4.1,4141 University Wy NE,98105,Japanese rated 4.1/5 located at 4141 University Wy NE (ZIP 98105).,https://www.doordash.com/store/tanuki-izakaya-&-ramen-elk-grove-22951972/?srsltid=AfmBOoo_n1zEQTw32OsxN1qciR9RMmS3UmZ9pqfcGNgjGDBS2wKinbP3
Great State Burger,Hamburger,4.1,3600 NE 45th St,98105,Hamburger rated 4.1/5 located at 3600 NE 45th St (ZIP 98105).,https://www.doordash.com/store/tian-fu-old-town-seattle-25170876/?srsltid=AfmBOoq-aQoW3eP_FjNzET6zCGovAi-968o6Xkq556R6e6Y8ki2rEeHw
,,,,,,https://www.doordash.com/store/kostas-ontario-1456100/?srsltid=AfmBOooKKHjATsrutnSUMdJ6BxeUUVfeLldr-Df-czkYJNBfxXpk3wek
,,,,,,https://www.doordash.com/store/amazing-thai-cuisine-los-angeles-242816/?srsltid=AfmBOoqOcQZkns_cosjmp357KQmSS24ieLAUM4li4kcDU_lncpY5CScN
,,,,,,https://www.doordash.com/store/dough-zone-dumpling-house-seattle-527642?srsltid=AfmBOor2LnzTTtF15gt1LDFxs6VzsFpJqop_W7Qevz5NgZex1dI9iYec
,,,,,,https://www.doordash.com/near-me/category/the-bob/?srsltid=AfmBOorinwMoSuBPdJQrFksxAvIGIXxPUMfgkFb0FNw-S47B1C_TBDct
,,,,,,https://www.doordash.com/near-me/category/chocolate-morsel/?srsltid=AfmBOoqZRMAkYWxR8vVPIA0kjuUREfUFOKmoDbl4ITkzjTO1yF1ofj29
,,,,,,https://www.doordash.com/store/red-pepper-express-sunnyvale-677245/?srsltid=AfmBOoo2AYE-tCxpagSnCB5incQPujofaeDE1TgBEzXXGt7eC5XF5qPR
,,,,,,https://www.doordash.com/near-me/category/pho-shizzle/?srsltid=AfmBOooG8mPbBM79o47N_UdPf_H-_9D67fB0WrwWmaegeYhV0EdldvGL
,,,,,,https://www.doordash.com/store/rachel's-ginger-beer-seattle-24829636/?srsltid=AfmBOor9ggzHOL3KBN1PMNKyiCaHGHPre1w4CSQdwvw4twSwlUImf-ew
,,,,,,https://www.doordash.com/business/bamboo-sushi-137732/menu/?srsltid=AfmBOoo-hnjMuay5dGpGyG_zTfSJGnBzmc93_gCEUVoC_cEhnBVc9MTZ
,,,,,,https://www.doordash.com/store/chi-mac-seattle-151144/?srsltid=AfmBOoocyCVELyyU1U3M2SRDzxfxkasi-GFcyNErUnDojMugmkUs_vhL
,,,,,,https://www.doordash.com/store/aladdin-falafel-corner-seattle-1469481/?srsltid=AfmBOooA-bTD99fsaTSubO-REK9Zi7f1UEogUFCD2q1l4DWa_NCpMQs8
,,,,,,https://www.doordash.com/store/saigon-deli-seattle-25951825/?srsltid=AfmBOop4zlxU9md5_65zEBQ_vd-9lB8PRUX4_HNKQYq8yPuDG81XpD8i
,,,,,,https://www.doordash.com/near-me/category/thai-65-express/?srsltid=AfmBOoovleazkIJ_h7L0L3Cp0_j0iO8EWIQSioJ_VtEKv90Fi7bjYlcM
,,,,,,https://www.doordash.com/business/ugly-mug-cafe-%26-coffee-roasters-269063/?srsltid=AfmBOopcZTwv35kr22-2aSgc4IwyyEZI5hejrss1msIklfy8A1OttpRV
,,,,,,https://www.doordash.com/business/memo%27s-mexican-food-restaurant-24497/menu/?srsltid=AfmBOoo1c8PXOYZTCfZcVHJRU8R6xbDGnVuERrPRaIL1bhg6VDPxOwjZ
,,,,,,https://www.doordash.com/store/chipotle-mexican-grill-glendale-270756/?srsltid=AfmBOooSosRVH5-NfsWZrvQd0sJt1Ka71XSl2R3GW7hfmE-EgbN4ojzi
,,,,,,https://www.doordash.com/store/the-donut-factory-placerville-1015516/?srsltid=AfmBOorLCqfaPBAmFnNsk8bHpRoCV7jN4K8L01jQTsq_nx6huD1c86pr
,,,,,,https://www.doordash.com/store/vineapple-cafe-brooklyn-1104879/?srsltid=AfmBOooLgb00qvQLNiDcLCuK_jd_nnLP43ys86WO5T48f4V9W4u9qOBm
,,,,,,https://www.doordash.com/store/sushi-kappo-tamuraeastlake-ave-e-seattle-38006/?srsltid=AfmBOoqPHXKIyOXXU7nv-YxtrfbzbTTWy8Ken_JX0BUzOB6rqP48Hvgh
,,,,,,https://www.doordash.com/business/subway-3720/?srsltid=AfmBOopFjseJWZ6K6RL-xmXh52noKSrfE4c72xG_qxmxsWe5efWmLwqW
